Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
P21328				Q80TM6				
P70684				P27093				
Q0II29				Q8CG76				
P68373				Q5E9N0				
Q5XG04				Q90459				
Q8BHD8				Q6DBX1				
Q6NTY6				P11369				
Q2WG80				Q99J09				
P11029				Q15008				
O14595				Q5ZJN4				
O94972				Q6IQ23				
O70351				Q8ND30				
Q08623				Q5U403				
Q92090				Q5BJI7				
Q92090				Q9IB83				
Q6DRL5				P20821				
Q9R099				Q96LU5				
Q5RDN9				P25093				
P34932				Q8IXL6				
Q8N264				Q6VEU1				
A9JRI0				Q28C74				
P83571				O73930				
Q64343				B5DG51				
Q9DED4				P19468				
A1A4R8				P59723				
O08807				Q17QZ7				
Q8AXL1				Q13395				
P11493				Q6P950				
P49069				Q28BP2				
Q9Z0E8				Q9JJG0				
P30825				Q28298				
Q86WZ6				Q5ZIJ2				
Q3KTM2				P63074				
P08108				P20825				
Q9U281				Q8AV13				
Q9ERK0				Q9ER58				
Q9CXS4				Q92038				
Q27955				Q7T346				
P97298				A8C754				
Q6PBV6				Q9H1A4				
Q9CQK1				Q6DC39				
P36514				Q5M969				
Q15797				Q2KHU0				
Q0VFH6				Q8BMN4				
A7RZW4				Q08BB1				
Q9N2I9				Q99NF1				
Q9JHT5				Q60452				
O76062				Q9JJL8				
P30044				P83917				
P70047				Q86YT5				
P49321				P49718				
Q7SYM0				A3QJU3				
Q8N3Y7				P46065				
Q3U2U7				P61150				
A2AAJ9				B2RZD7				
Q56A55				O55029				
Q566R7				A8MUU9				
P41689				P14381				
P21743				P15305				
Q5SGD2				Q4KLI2				
Q9QXG4				Q02290				
P27925				Q6ZNB6				
Q9W705				Q6JV22				
Q6PF24				Q08CK1				
P05712				P30681				
Q5ZI69				F1MNN4				
Q803I4								
Q91628								
Q9JJ93								
P51162								
Q8TCT9								
Q8R0N6								
Q4RWX9								
Q9QYN5								
Q9CZW4								
